Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
HR Manager,Education,Small,Tokyo,Low,Medium,Project Management,94787,1,Stable
Software Engineer,Education,Large,Berlin,Low,Medium,Project Management,63065,0,Growth
Operations Manager,Transportation,Large,Dubai,Low,Medium,Communication,97490,1,Stable
AI Researcher,Retail,Medium,New York,Medium,Medium,JavaScript,74057,0,Stable
UX Designer,Energy,Small,Singapore,Low,High,Sales,90737,0,Stable
Cybersecurity Analyst,Transportation,Small,Sydney,Low,High,Marketing,97812,1,Stable
Operations Manager,Entertainment,Medium,Berlin,Low,Low,Communication,139078,1,Decline
Marketing Specialist,Transportation,Large,Singapore,High,High,JavaScript,104855,0,Stable
Marketing Specialist,Finance,Medium,Tokyo,Low,High,Sales,117296,0,Stable
Data Scientist,Finance,Large,Tokyo,High,Medium,Python,127435,1,Growth
AI Researcher,Energy,Small,Tokyo,High,High,Cybersecurity,99785,0,Growth
HR Manager,Manufacturing,Large,New York,Low,Medium,Marketing,95714,0,Decline
Cybersecurity Analyst,Retail,Medium,New York,High,Low,UX/UI Design,68666,0,Growth
Software Engineer,Energy,Small,Dubai,Low,Low,Project Management,87667,1,Stable
Software Engineer,Education,Medium,Dubai,Medium,High,Data Analysis,75538,0,Growth
Cybersecurity Analyst,Healthcare,Medium,Sydney,Medium,Low,Python,81979,0,Decline
Product Manager,Retail,Large,Berlin,Medium,High,Project Management,127413,0,Growth
HR Manager,Retail,Medium,San Francisco,Medium,Low,Machine Learning,92292,1,Growth
Operations Manager,Education,Large,San Francisco,High,Medium,Data Analysis,72482,1,Decline
UX Designer,Education,Small,Singapore,Low,Medium,Project Management,117491,0,Decline
Product Manager,Technology,Large,Tokyo,Low,Medium,JavaScript,109106,1,Stable
UX Designer,Energy,Small,Berlin,Low,Medium,Marketing,110153,0,Growth
UX Designer,Education,Large,Paris,Medium,High,Project Management,49877,1,Stable
Product Manager,Finance,Medium,New York,Medium,Low,UX/UI Design,128973,1,Growth
Data Scientist,Entertainment,Large,Toronto,Low,High,Cybersecurity,78830,0,Growth
Marketing Specialist,Healthcare,Large,London,Medium,Medium,JavaScript,105559,1,Stable
UX Designer,Energy,Small,Sydney,Low,High,Python,140476,1,Growth
Product Manager,Telecommunications,Medium,Tokyo,Low,Low,Python,133107,1,Growth
Product Manager,Finance,Large,Tokyo,Low,High,Python,70449,0,Growth
Sales Manager,Manufacturing,Medium,Tokyo,Low,Low,Python,61110,1,Decline
Data Scientist,Education,Large,New York,Low,High,Cybersecurity,118607,1,Stable
AI Researcher,Telecommunications,Large,New York,Low,Low,Project Management,92841,0,Decline
Sales Manager,Education,Medium,London,Low,Low,Sales,79982,1,Stable
Sales Manager,Retail,Large,Paris,Medium,Medium,Project Management,102424,1,Stable
Cybersecurity Analyst,Finance,Medium,Berlin,Low,Low,Machine Learning,86742,1,Growth
Marketing Specialist,Retail,Large,Tokyo,Low,Medium,Marketing,104026,1,Stable
Product Manager,Technology,Small,San Francisco,Medium,Medium,Data Analysis,91340,1,Decline
Marketing Specialist,Retail,Medium,Dubai,Medium,Medium,Sales,104448,0,Decline
HR Manager,Technology,Large,San Francisco,Medium,High,Sales,72109,0,Decline
Cybersecurity Analyst,Technology,Large,Singapore,Low,High,Project Management,118489,1,Stable
AI Researcher,Telecommunications,Small,San Francisco,High,High,Sales,103952,1,Decline
Marketing Specialist,Education,Medium,Singapore,High,High,Communication,102926,1,Stable
Software Engineer,Manufacturing,Large,Toronto,Medium,Low,Communication,67647,0,Decline
UX Designer,Retail,Small,Dubai,High,Low,Machine Learning,123993,0,Decline
HR Manager,Finance,Large,San Francisco,Medium,High,Data Analysis,89726,1,Stable
Data Scientist,Technology,Medium,Toronto,Low,Low,UX/UI Design,104561,1,Decline
AI Researcher,Education,Large,Sydney,High,Low,Cybersecurity,83544,0,Growth
HR Manager,Healthcare,Large,Berlin,Low,Medium,Project Management,95218,1,Stable
UX Designer,Energy,Large,Toronto,High,Medium,Cybersecurity,95943,0,Stable
Cybersecurity Analyst,Telecommunications,Large,Berlin,Low,Medium,UX/UI Design,33601,0,Stable
UX Designer,Manufacturing,Small,San Francisco,High,Medium,Project Management,101649,1,Growth
Sales Manager,Transportation,Small,Paris,Low,Low,Project Management,129307,0,Stable
UX Designer,Telecommunications,Medium,Toronto,Low,High,Data Analysis,100796,1,Decline
Sales Manager,Healthcare,Small,Dubai,High,Low,Cybersecurity,70846,1,Decline
Cybersecurity Analyst,Energy,Small,San Francisco,Low,Low,Communication,102999,1,Decline
Operations Manager,Healthcare,Medium,Tokyo,Low,Low,Python,111190,1,Stable
Sales Manager,Retail,Small,New York,Low,Medium,Cybersecurity,100249,1,Decline
Data Scientist,Technology,Small,Toronto,High,Medium,Marketing,88517,1,Stable
UX Designer,Manufacturing,Medium,Dubai,High,Medium,Marketing,85157,0,Decline
UX Designer,Entertainment,Medium,Sydney,Low,High,Project Management,85074,0,Growth
Data Scientist,Technology,Medium,Tokyo,Low,Low,Python,103956,0,Growth
Software Engineer,Entertainment,Large,Sydney,High,High,JavaScript,61858,0,Growth
Product Manager,Energy,Large,San Francisco,High,Medium,UX/UI Design,82563,1,Growth
Operations Manager,Education,Medium,New York,Low,High,Machine Learning,121912,0,Stable
AI Researcher,Transportation,Medium,Toronto,Low,Low,Python,122684,0,Decline
Sales Manager,Finance,Medium,Toronto,Low,Low,Machine Learning,60437,0,Growth
Data Scientist,Technology,Large,Paris,Medium,Medium,Cybersecurity,67372,1,Stable
Cybersecurity Analyst,Manufacturing,Large,Paris,High,Medium,Cybersecurity,84588,0,Growth
Sales Manager,Healthcare,Small,San Francisco,Medium,High,Machine Learning,107852,1,Growth
Product Manager,Manufacturing,Small,San Francisco,High,Medium,UX/UI Design,53451,0,Stable
Cybersecurity Analyst,Energy,Medium,New York,High,Medium,Python,88904,1,Stable
HR Manager,Entertainment,Large,Paris,High,Low,JavaScript,80516,1,Decline
UX Designer,Healthcare,Large,Dubai,High,Medium,Project Management,116519,0,Decline
HR Manager,Finance,Large,Dubai,High,Medium,Data Analysis,56462,1,Growth
Sales Manager,Finance,Medium,New York,High,Low,Cybersecurity,91851,1,Growth
Product Manager,Technology,Small,Dubai,High,Low,Marketing,82128,0,Decline
Operations Manager,Energy,Medium,Singapore,Medium,High,UX/UI Design,119396,0,Decline
Sales Manager,Education,Small,Berlin,Low,Medium,Data Analysis,101953,0,Stable
Data Scientist,Energy,Small,New York,Low,Low,JavaScript,78284,1,Decline
Marketing Specialist,Entertainment,Medium,New York,Medium,High,Sales,107068,1,Decline
Sales Manager,Manufacturing,Small,London,Medium,High,Project Management,82223,1,Growth
UX Designer,Finance,Small,Tokyo,Medium,Medium,Cybersecurity,109987,0,Decline
UX Designer,Manufacturing,Large,Tokyo,Medium,Medium,Project Management,85258,1,Growth
Sales Manager,Manufacturing,Small,Singapore,High,High,Data Analysis,111093,1,Decline
Cybersecurity Analyst,Manufacturing,Medium,Paris,Low,Low,Project Management,98722,1,Stable
Marketing Specialist,Finance,Medium,San Francisco,High,High,Sales,155210,1,Decline
Data Scientist,Telecommunications,Small,San Francisco,Low,Medium,Data Analysis,88942,1,Decline
Sales Manager,Retail,Large,Sydney,Low,Low,Cybersecurity,97657,1,Decline
Cybersecurity Analyst,Entertainment,Large,Singapore,Medium,Low,Python,80412,1,Growth
UX Designer,Telecommunications,Small,New York,High,High,Marketing,90054,0,Stable
UX Designer,Entertainment,Small,Singapore,Medium,Medium,Data Analysis,35963,0,Decline
Product Manager,Healthcare,Medium,Singapore,High,High,Communication,99312,0,Growth
Sales Manager,Energy,Small,Singapore,Low,High,Sales,116857,1,Stable
Marketing Specialist,Energy,Large,Tokyo,Medium,High,Data Analysis,97933,1,Growth
Software Engineer,Transportation,Small,Singapore,Medium,Low,Data Analysis,63723,0,Growth
Marketing Specialist,Energy,Medium,Berlin,Low,Low,Communication,73964,1,Stable
UX Designer,Finance,Medium,San Francisco,Low,Medium,Cybersecurity,41396,0,Decline
UX Designer,Education,Medium,Sydney,Low,Medium,Data Analysis,109578,1,Growth
HR Manager,Technology,Medium,Berlin,Medium,High,Marketing,69870,1,Growth
UX Designer,Transportation,Medium,Sydney,High,High,Project Management,89426,0,Decline
Data Scientist,Technology,Small,London,Medium,High,Cybersecurity,86925,0,Decline
AI Researcher,Entertainment,Small,Sydney,High,Medium,Marketing,119755,0,Stable
Sales Manager,Technology,Small,San Francisco,Medium,Low,Cybersecurity,91706,0,Stable
Marketing Specialist,Technology,Small,San Francisco,Medium,Low,Marketing,106178,0,Stable
AI Researcher,Transportation,Medium,Singapore,Low,High,Sales,100929,1,Decline
Cybersecurity Analyst,Healthcare,Large,Toronto,High,High,Marketing,117188,1,Growth
Software Engineer,Manufacturing,Small,London,Medium,High,Machine Learning,85218,1,Growth
Data Scientist,Energy,Large,New York,Medium,High,Marketing,127392,0,Stable
Marketing Specialist,Energy,Small,Dubai,Low,Medium,Python,50287,0,Decline
AI Researcher,Finance,Small,Sydney,Low,Low,Python,107149,0,Growth
Software Engineer,Transportation,Large,Toronto,High,High,UX/UI Design,72668,0,Stable
HR Manager,Finance,Medium,Singapore,Medium,Medium,Machine Learning,80145,0,Growth
Data Scientist,Education,Small,Tokyo,High,High,Machine Learning,101388,0,Growth
Data Scientist,Education,Small,New York,Medium,High,Project Management,101228,1,Decline
HR Manager,Finance,Small,Paris,High,Low,Machine Learning,102129,1,Decline
Sales Manager,Transportation,Large,Toronto,Low,High,Project Management,62277,1,Growth
HR Manager,Finance,Medium,Tokyo,Medium,Low,UX/UI Design,118981,1,Stable
Data Scientist,Energy,Large,London,High,Low,UX/UI Design,71987,1,Decline
Data Scientist,Telecommunications,Large,Singapore,Low,Low,Sales,74654,0,Growth
AI Researcher,Retail,Medium,New York,Low,Medium,Python,102758,0,Decline
UX Designer,Technology,Large,New York,High,Medium,Marketing,84266,0,Decline
Software Engineer,Retail,Medium,New York,Medium,Low,Marketing,96165,0,Decline
HR Manager,Transportation,Small,London,Medium,High,Communication,46868,0,Growth
Software Engineer,Retail,Medium,Sydney,Low,Low,Communication,95686,0,Stable
HR Manager,Education,Small,Paris,Medium,High,JavaScript,94357,1,Stable
Cybersecurity Analyst,Entertainment,Large,London,Medium,Low,Cybersecurity,79803,0,Stable
Data Scientist,Technology,Large,Dubai,Medium,High,Sales,48518,0,Decline
UX Designer,Manufacturing,Small,Paris,Low,Medium,JavaScript,85744,0,Growth
AI Researcher,Transportation,Large,San Francisco,High,High,JavaScript,89253,0,Decline
UX Designer,Technology,Medium,Singapore,Medium,Low,Data Analysis,82655,1,Stable
UX Designer,Retail,Small,London,Low,Medium,Data Analysis,53277,1,Stable
UX Designer,Education,Large,Tokyo,Low,High,JavaScript,121895,0,Growth
Software Engineer,Healthcare,Small,Paris,High,High,Machine Learning,77223,1,Decline
HR Manager,Telecommunications,Medium,Dubai,Medium,High,Cybersecurity,85556,1,Stable
Operations Manager,Manufacturing,Medium,San Francisco,Medium,High,Sales,41811,0,Growth
Cybersecurity Analyst,Telecommunications,Large,Sydney,High,High,JavaScript,121897,0,Decline
Marketing Specialist,Technology,Medium,Tokyo,High,Medium,Marketing,80669,0,Decline
UX Designer,Education,Small,Paris,Low,Medium,Cybersecurity,91969,0,Stable
Sales Manager,Education,Medium,Singapore,Low,Medium,Data Analysis,112415,0,Stable
Software Engineer,Retail,Small,Tokyo,High,Medium,Marketing,76474,1,Decline
AI Researcher,Energy,Small,San Francisco,Medium,Low,Data Analysis,109265,0,Decline
Marketing Specialist,Retail,Medium,Tokyo,Low,Medium,Data Analysis,48773,0,Stable
Operations Manager,Energy,Large,Berlin,Low,High,Cybersecurity,101020,0,Decline
Sales Manager,Energy,Medium,Toronto,Medium,High,Data Analysis,121445,1,Stable
Operations Manager,Manufacturing,Small,Sydney,Low,Medium,UX/UI Design,78392,0,Decline
Marketing Specialist,Retail,Small,San Francisco,Medium,High,Python,112378,0,Stable
UX Designer,Healthcare,Medium,Tokyo,Medium,Medium,UX/UI Design,126678,0,Growth
Sales Manager,Finance,Large,Toronto,Medium,High,Python,84903,1,Stable
Operations Manager,Finance,Large,Toronto,High,Low,Communication,83249,0,Stable
AI Researcher,Retail,Small,Tokyo,High,Low,Communication,72034,0,Growth
HR Manager,Retail,Small,Singapore,High,Medium,Data Analysis,79805,0,Decline
Data Scientist,Telecommunications,Large,Berlin,Medium,Medium,Sales,73693,1,Growth
HR Manager,Manufacturing,Medium,London,Medium,Medium,Sales,72018,0,Stable
Marketing Specialist,Retail,Small,Berlin,High,High,Python,113977,0,Decline
Software Engineer,Telecommunications,Small,Tokyo,Low,Medium,Marketing,74201,0,Growth
Data Scientist,Energy,Large,Sydney,Medium,Low,Cybersecurity,95170,1,Decline
Cybersecurity Analyst,Education,Medium,London,Low,High,Data Analysis,90765,0,Decline
AI Researcher,Education,Large,San Francisco,Low,Medium,Cybersecurity,119962,0,Growth
Cybersecurity Analyst,Energy,Medium,Berlin,Medium,High,UX/UI Design,79937,0,Decline
Sales Manager,Transportation,Medium,Tokyo,Medium,High,Sales,97623,1,Growth
Data Scientist,Telecommunications,Medium,Berlin,Low,Medium,Machine Learning,105821,1,Stable
Cybersecurity Analyst,Telecommunications,Small,London,Low,High,UX/UI Design,119795,0,Decline
Cybersecurity Analyst,Energy,Large,Dubai,High,Low,UX/UI Design,79645,1,Stable
Operations Manager,Healthcare,Large,Paris,High,Low,Python,77642,1,Stable
HR Manager,Entertainment,Medium,Berlin,Medium,High,Project Management,68764,1,Decline
